Order-Date,Ship-Mode,Segment,State,Sub-Category,Quantity,Unit-Price,Unit-Cost,iforest_score,precipitation,temperature
2016-11-08,Second Class,Consumer,Kentucky,Bookcases,1,261.96,220.04639999999998,0.4960010901198842,0.11631511603103345,47.19704039503815
2016-11-08,Second Class,Consumer,Kentucky,Chairs,2,365.97,256.17900000000003,0.5389735529507101,0.11175097170802645,41.805982416021365
2016-06-12,Second Class,Corporate,California,Labels,2,7.31,3.8742999999999994,0.36824357443446815,1.056521545832764,40.02399023180852
2015-10-11,Standard Class,Consumer,Florida,Tables,4,239.394375,335.152125,0.5674785473607528,4.697347287502553,78.81852123118493
2015-10-11,Standard Class,Consumer,Florida,Storage,1,22.368,19.851599999999998,0.3912407496458239,4.164413310468543,44.79057343303193
2014-06-09,Standard Class,Consumer,California,Furnishings,5,9.772,6.9381200000000005,0.40195571082219894,4.166555193292439,76.64192875154734
2014-06-09,Standard Class,Consumer,California,Art,2,3.64,2.6572,0.3717684867505555,2.4429366475625924,14.232700170438516
2014-06-09,Standard Class,Consumer,California,Phones,4,226.788,204.10920000000002,0.5117473689646443,2.2875296914922156,24.39397461090389
2014-06-09,Standard Class,Consumer,California,Binders,2,9.252,6.360750000000001,0.36293694906968593,1.8718488108289448,47.887043519424935
2014-06-09,Standard Class,Consumer,California,Appliances,4,28.725,20.1075,0.39976660405575687,2.564687011616136,90.77171586980674
2014-06-09,Standard Class,Consumer,California,Tables,8,213.273,202.60935,0.61084102832183,1.1921215735654203,96.91579320263307
2014-06-09,Standard Class,Consumer,California,Phones,2,455.712,421.5336,0.9142283307619288,2.7633928179217473,25.913996414127322
2017-04-15,Standard Class,Consumer,North Carolina,Paper,2,7.776,5.054399999999999,0.366066418843161,1.7576736374184043,94.36404559959519
2016-12-05,Standard Class,Consumer,Washington,Binders,1,407.976,275.3838,0.9307581562783809,3.1153132383559745,31.960605900303726
2015-11-22,Standard Class,Home Office,Texas,Appliances,4,17.2025,48.167,0.44585320896481334,0.6935991307033947,70.8383074504471
2015-11-22,Standard Class,Home Office,Texas,Binders,1,2.544,6.359999999999999,0.7943389792936787,3.0921079434709657,12.773906434560624
2014-11-11,Standard Class,Consumer,Wisconsin,Storage,5,133.176,130.51248,0.494876047006452,0.5796320084549729,50.372910572465706
2014-05-13,Second Class,Consumer,Utah,Storage,1,55.5,45.51,0.4083432940972254,0.5059234519257467,80.6755949098802
2014-08-27,Second Class,Consumer,California,Art,1,8.56,6.0776,0.37652656509359156,4.630978639642323,12.721620633570403
2014-08-27,Second Class,Consumer,California,Phones,2,106.74,98.7345,0.4309318390954442,2.382186943417671,90.72262446914756
2014-08-27,Second Class,Consumer,California,Binders,3,7.573333333333333,5.111999999999999,0.3719252904168268,1.3027635570846827,25.419887245961156
2016-12-09,Standard Class,Corporate,Nebraska,Art,7,2.7800000000000002,2.0572000000000004,0.47232763009805334,4.754703880068933,81.89004094665258
2016-12-09,Standard Class,Corporate,Nebraska,Appliances,7,8.620000000000001,6.3788,0.4521317010663785,4.167400957917763,25.707903217082187
2017-07-16,Second Class,Consumer,Pennsylvania,Chairs,1,71.372,72.3916,0.4210366863688819,0.07312453024070445,78.26935880798165
2015-09-25,Standard Class,Consumer,Utah,Tables,2,522.315,402.18255000000005,0.5962490570160051,2.3195775032361605,63.41705943237777
2016-01-16,Second Class,Consumer,California,Binders,1,11.648,7.425599999999999,0.3787520410352218,2.5973789541040824,95.36833093090924
2016-01-16,Second Class,Consumer,California,Accessories,2,45.285,39.397949999999994,0.39936845734221554,0.4099067638790253,40.75757419826114
2015-09-17,Standard Class,Consumer,Pennsylvania,Bookcases,6,513.905,791.4137000000001,0.7257545682598698,1.4282054681508218,65.39003462757498
2015-09-17,Standard Class,Consumer,Pennsylvania,Binders,1,9.618,16.6712,0.39042012249092817,1.3359762368267525,76.1775670834541
2015-09-17,Standard Class,Consumer,Pennsylvania,Furnishings,2,62.1,54.3375,0.4080390596350328,3.1232675522285023,64.3341709230319
2015-09-17,Standard Class,Consumer,Pennsylvania,Envelopes,1,3.264,2.1624,0.3911638024582963,1.1531358933447087,77.08976176492435
2015-09-17,Standard Class,Consumer,Pennsylvania,Art,5,17.2608,15.31896,0.4122482000829709,0.6315547163528277,87.97331613297946
2015-09-17,Standard Class,Consumer,Pennsylvania,Binders,5,1.3716,2.5146,0.42917485708247793,1.6978730359202012,62.53255027340404
2015-09-17,Standard Class,Consumer,Pennsylvania,Art,1,15.76,12.214,0.37925835780360917,1.2808141830886184,74.52782961654546
2017-10-19,Second Class,Home Office,Texas,Paper,2,14.736,9.7626,0.36568405809482796,4.7520816815072315,82.78267255481855
2016-12-08,First Class,Corporate,Texas,Phones,7,156.792,139.15290000000002,0.5620949213153059,4.380157157235796,67.4837932047785
2016-12-08,First Class,Corporate,Texas,Furnishings,5,38.184,67.7766,0.4579497226772246,1.6547515689928294,42.93756548397756
2015-12-27,Standard Class,Home Office,Texas,Envelopes,8,14.166,9.739125000000001,0.4972162422224124,0.7058276916557712,37.263844845340216
2015-12-27,Standard Class,Home Office,Texas,Bookcases,2,266.1996,289.6878,0.5088481880883026,1.7772206394662005,93.82769206336297
2015-12-27,Standard Class,Home Office,Texas,Chairs,1,212.058,227.20499999999998,0.7402406460372751,3.220712895370648,21.284452810400026
2015-12-27,Standard Class,Home Office,Texas,Phones,1,371.168,329.4116,0.8704222569073086,4.494208336962513,30.31450014374745
2017-09-10,Standard Class,Corporate,Illinois,Phones,4,36.792,32.6529,0.41660773280518,0.38507448041067444,27.9284527313289
2016-07-17,Standard Class,Corporate,California,Storage,2,38.94,36.992999999999995,0.39766123944262183,3.323842594836598,34.365928577436335
2017-09-19,Standard Class,Corporate,Florida,Storage,2,47.808,43.0272,0.396757397270506,3.68586349748122,96.9490051499692
2016-03-11,First Class,Corporate,Minnesota,Accessories,2,22.99,13.104299999999999,0.3758812719342398,1.9680854163738823,72.91634362018274
2016-03-11,First Class,Corporate,Minnesota,Binders,2,8.73,4.6269,0.36759461621186934,2.7315454560108425,87.50886049774624
2014-10-20,Second Class,Consumer,Michigan,Storage,2,105.98,101.74080000000001,0.43008758036445227,4.72415946622723,53.543257872861076
2016-06-20,Standard Class,Consumer,Delaware,Accessories,2,22.5,20.025,0.3815919481183467,2.3972883016153905,36.79367622882498
2016-06-20,Standard Class,Consumer,Delaware,Phones,1,21.8,15.696000000000002,0.38412644102155813,0.902713095125326,86.84837735289194
2015-04-18,Standard Class,Consumer,Indiana,Binders,4,9.555,5.06415,0.38840610435341455,4.905492978020481,75.66140484925559
2015-04-18,Standard Class,Consumer,Indiana,Labels,4,18.795,9.961350000000001,0.39471752152000134,2.1057254040792266,22.789609140063977
2015-04-18,Standard Class,Consumer,Indiana,Furnishings,1,6.16,3.2032000000000003,0.3772861411140432,0.6995855821684428,41.71554864267263
2015-04-18,Standard Class,Consumer,Indiana,Chairs,1,89.99,72.89189999999999,0.4257076848187879,4.300387673520063,75.45643391748028
2016-12-11,Standard Class,Corporate,New York,Fasteners,7,2.18,1.2861999999999998,0.4833854608443718,0.0,23.949206954099246
2016-12-11,Standard Class,Corporate,New York,Phones,5,205.99,146.2529,0.5221058205018811,0.38351005521096143,19.28174088608113
2016-06-17,First Class,Consumer,New York,Storage,5,41.712,31.284000000000002,0.4316482863665205,0.0931490272798107,73.40910250098813
2016-06-17,First Class,Consumer,New York,Paper,4,8.1,4.212,0.3856944535460204,0.07055795719788946,76.05857947650253
2016-06-17,First Class,Consumer,New York,Chairs,4,79.8525,78.078,0.4396111751731288,0.08487622345290217,77.99332307217247
2016-06-17,First Class,Consumer,New York,Paper,1,14.56,7.5712,0.38223520254452614,0.06892664755023398,76.75103898523754
2016-06-17,First Class,Consumer,New York,Accessories,1,30.0,26.7,0.40334629720302584,0.07343386257089193,72.38926184334102
2016-06-17,First Class,Consumer,New York,Binders,3,16.16,10.705999999999998,0.37904607205582275,0.08455321881483022,69.26294902326056
2016-06-17,First Class,Consumer,New York,Art,1,1.68,0.84,0.4082911121867393,0.07756446388681831,71.71168844948694
2015-11-24,Standard Class,Consumer,California,Accessories,1,13.98,7.8288,0.3813814151381266,0.9178489786707386,81.60440062354031
2015-11-24,Standard Class,Consumer,California,Binders,2,12.912,8.2314,0.7043346919067455,3.657197266558092,25.91901257795598
2015-11-24,Standard Class,Consumer,California,Paper,2,73.365,38.883449999999996,0.4089856603352456,1.4745327447771674,15.146615534298498
2015-11-24,Standard Class,Consumer,California,Furnishings,3,26.58666666666667,19.142400000000002,0.38994622107058885,4.021903755042397,83.63239099552675
2015-04-30,Standard Class,Home Office,Illinois,Chairs,3,71.03833333333334,76.1125,0.4216815623093053,4.428727482686594,53.18080121729494
2014-12-05,Standard Class,Corporate,Arizona,Art,8,139.128,125.21519999999998,0.5925058264460673,3.6229411242443366,72.12467717204012
2014-12-05,Standard Class,Corporate,Arizona,Phones,4,41.992,26.244999999999997,0.42058944388434555,0.4127241694784053,78.42282095264
2016-06-04,First Class,Consumer,Virginia,Paper,1,75.88,40.21639999999999,0.4099869850804246,0.11188969717412243,77.94236633572903
2016-09-18,Standard Class,Consumer,New York,Binders,1,4.616,2.885,0.3810085533968902,0.1565131946377837,75.44606583064385
2017-09-14,Second Class,Consumer,Michigan,Paper,1,19.05,10.287,0.3833791220308768,2.439540491796447,10.0262689901723
2015-04-26,Standard Class,Consumer,Tennessee,Chairs,6,138.656,157.7212,0.5364098096394413,3.2782224816533776,76.69003682999043
2015-04-26,Standard Class,Consumer,Tennessee,Furnishings,1,97.04,95.82700000000001,0.436757724538206,4.542817486081218,58.06163056323263
2015-04-26,Standard Class,Consumer,Tennessee,Storage,1,72.784,90.98,0.4319718381551732,3.060589828802759,45.1789403310363
2017-12-09,First Class,Corporate,Texas,Binders,3,0.416,1.0608,0.40811072276921995,1.9184647748060883,11.670842488948582
2017-12-09,First Class,Corporate,Texas,Furnishings,3,3.236,5.1776,0.3807270091455704,2.0764092552737488,66.01160370550974
2017-12-09,First Class,Corporate,Texas,Storage,3,9.08,8.171999999999999,0.3769584705056983,1.397280713689817,54.560590121004516
2014-11-26,Second Class,Consumer,Texas,Furnishings,4,4.825,8.44375,0.39604762679175914,0.6802737462983616,20.421928087587325
2016-06-12,First Class,Corporate,Alabama,Appliances,1,208.16,151.9568,0.48980415400423677,0.34485733097053406,96.50317897459675
2016-06-12,First Class,Corporate,Alabama,Binders,3,5.579999999999999,2.9015999999999997,0.37811185524214086,0.13449264508212752,64.35703121754398
2014-10-12,Standard Class,Consumer,California,Art,4,3.725,2.6820000000000004,0.3934652371020363,4.149605081149015,78.18450913494571
2014-10-12,Standard Class,Consumer,California,Storage,1,21.39,15.186900000000001,0.38299366650930805,1.8114669648777981,79.16916693954764
2015-09-03,Standard Class,Corporate,North Carolina,Envelopes,7,28.712,19.7395,0.4744963169732561,2.063161824069598,25.69452277394603
2017-11-13,First Class,Home Office,Illinois,Storage,2,115.188,139.66545,0.45381302630205395,0.09274524416257401,41.76863667997011
2017-05-28,Second Class,Consumer,South Carolina,Chairs,1,301.96,268.7444,0.5265857198704877,3.140320849247556,47.27197661276442
2017-10-26,Standard Class,Consumer,Minnesota,Accessories,1,19.99,13.193399999999999,0.38498739877300453,2.4201409334150727,69.43918265630897
2017-10-26,Standard Class,Consumer,Minnesota,Labels,1,6.16,3.2032000000000003,0.3772861411140432,2.4182868481405007,70.55025133857256
2016-04-05,Second Class,Home Office,Texas,Storage,5,31.6736,28.90216,0.4267243756580509,2.29464624335373,48.364203244529804
2016-09-17,Standard Class,Corporate,California,Art,3,6.7,4.489000000000001,0.3740346546628995,0.23551535695282122,42.14188710694679
