Order Date,Ship Date,Ship Mode,Segment,State,Sub-Category,Discount,Sales,Quantity,Profit,iforest_score
2016-11-08,2016-11-11,Second Class,Consumer,Kentucky,Bookcases,0.0,261.96,2,41.9136,0.4169964036290569
2016-11-08,2016-11-11,Second Class,Consumer,Kentucky,Chairs,0.0,731.94,3,219.582,0.5066633479700382
2016-06-12,2016-06-16,Second Class,Corporate,California,Labels,0.0,14.62,2,6.8714,0.3568607265448205
2015-10-11,2015-10-18,Standard Class,Consumer,Florida,Tables,0.45,957.5775,5,-383.031,0.5881040221741168
2015-10-11,2015-10-18,Standard Class,Consumer,Florida,Storage,0.2,22.368,2,2.5164,0.3540801354704055
2014-06-09,2014-06-14,Standard Class,Consumer,California,Furnishings,0.0,48.86,7,14.1694,0.4015620088814291
2014-06-09,2014-06-14,Standard Class,Consumer,California,Art,0.0,7.28,4,1.9656,0.3630132170504421
2014-06-09,2014-06-14,Standard Class,Consumer,California,Phones,0.2,907.152,6,90.7152,0.5097013301713572
2014-06-09,2014-06-14,Standard Class,Consumer,California,Binders,0.2,18.504,3,5.7825,0.34744851086584366
2014-06-09,2014-06-14,Standard Class,Consumer,California,Appliances,0.0,114.9,5,34.47,0.38831631092661373
2014-06-09,2014-06-14,Standard Class,Consumer,California,Tables,0.2,1706.184,9,85.3092,0.6223182645308395
2014-06-09,2014-06-14,Standard Class,Consumer,California,Phones,0.2,911.424,4,68.3568,0.4908502622737091
2017-04-15,2017-04-20,Standard Class,Consumer,North Carolina,Paper,0.2,15.552,3,5.4432,0.34863606996689633
2016-12-05,2016-12-10,Standard Class,Consumer,Washington,Binders,0.2,407.976,3,132.5922,0.4433715701340151
2015-11-22,2015-11-26,Standard Class,Home Office,Texas,Appliances,0.8,68.81,5,-123.858,0.4673312506146076
2015-11-22,2015-11-26,Standard Class,Home Office,Texas,Binders,0.8,2.544,3,-3.816,0.3671280333636863
2014-11-11,2014-11-18,Standard Class,Consumer,Wisconsin,Storage,0.0,665.88,6,13.3176,0.46954173264589205
2014-05-13,2014-05-15,Second Class,Consumer,Utah,Storage,0.0,55.5,2,9.99,0.3594243789954773
2014-08-27,2014-09-01,Second Class,Consumer,California,Art,0.0,8.56,2,2.4824,0.35066767934259097
2014-08-27,2014-09-01,Second Class,Consumer,California,Phones,0.2,213.48,3,16.011,0.3793758025373387
2014-08-27,2014-09-01,Second Class,Consumer,California,Binders,0.2,22.72,4,7.384,0.3611617187265358
2016-12-09,2016-12-13,Standard Class,Corporate,Nebraska,Art,0.0,19.46,7,5.0596,0.41385462897506015
2016-12-09,2016-12-13,Standard Class,Corporate,Nebraska,Appliances,0.0,60.34,7,15.6884,0.4062456598024893
2017-07-16,2017-07-18,Second Class,Consumer,Pennsylvania,Chairs,0.3,71.372,2,-1.0196,0.36324126932176626
2015-09-25,2015-09-30,Standard Class,Consumer,Utah,Tables,0.0,1044.63,3,240.2649,0.5438163343442258
2016-01-16,2016-01-20,Second Class,Consumer,California,Binders,0.2,11.648,2,4.2224,0.35036689491991607
2016-01-16,2016-01-20,Second Class,Consumer,California,Accessories,0.0,90.57,3,11.7741,0.35543703837335217
2015-09-17,2015-09-21,Standard Class,Consumer,Pennsylvania,Bookcases,0.5,3083.43,7,-1665.0522,0.7559405942810568
2015-09-17,2015-09-21,Standard Class,Consumer,Pennsylvania,Binders,0.7,9.618,2,-7.0532,0.370897189162076
2015-09-17,2015-09-21,Standard Class,Consumer,Pennsylvania,Furnishings,0.2,124.2,3,15.525,0.36836872576877466
2015-09-17,2015-09-21,Standard Class,Consumer,Pennsylvania,Envelopes,0.2,3.264,2,1.1016,0.35949850165045244
2015-09-17,2015-09-21,Standard Class,Consumer,Pennsylvania,Art,0.2,86.304,6,9.7092,0.40527337973386895
2015-09-17,2015-09-21,Standard Class,Consumer,Pennsylvania,Binders,0.7,6.858,6,-5.715,0.4193679263216084
